Portfolio,Provenance Statement,Date,Signed,Period,(not entered),Artist,On View,Img_path,Markings,More Information,Inscribed,Dynasty,Classifications,Dimensions,Credit Line,Culture,Object number,Materials,Place of Origin,Department,Img_url,Title
,,1912-1949,,,,,Not on view,images_china/asian_china588.jpg,,"(One of a set of eighteen) The luohans were the disciples of the Buddha Shakyamuni, who told them to stay on earth and spread the doctrine. They are revered in China, and a special hall for their worship is set aside in every Buddhist temple. The luohans are often depicted with expressive faces.",,,Decorative Arts,"H. 9 1/2 in x W. 2 3/4 in x D. 2 1/2 in, H. 24.1 cm x W. 1.2 cm x D. 6.3 cm",Gift in memory of Lee Herbert Fahnestock,,1992.91.17,Ivory,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/1720/preview,One of the eighteen luohans (arhats)
,,approx. 1800-1911,,,,,Not on view,images_china/asian_china589.jpg,,"Episodes from the Romance of the Western Chamber, one of the famous love stories of China, are shown on this fan: 1. Oriole and her maid, Hongniang (Crimson), in the garden, listening to Zhang playing the qin. 2. Oriole meeting Zhang in the temple. 3. Madame Cui, the mother of Oriole (having discovered the trysting of the lovers), chastising Crimson, who acted as the go-between for the lovers. After hearing the whole story Madame Cui relented, but stipulated that Zhang had to pass his civil service examination before he could marry Oriole. 4. Oriole saying farewell to Zhang. 5. Zhang studying for his examination late at night. 6. Zhang returning in triumph after passing his exams. Such fans were produced for the tourist market rather than for domestic use.",,Qing dynasty (1644-1911),Decorative Arts,"H. 48 in x W. 10 in, H. 122.5 cm x W. 25.3 cm (overall); H. 18 3/4 in x W. 10 in, H. 47.5 cm x W. 25.3 cm (fan only)",Gift in memory of Lee Herbert Fahnestock,,1992.93.1,"Ivory, inlaid gemstones, metal hinges, and silk tassels",China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/71104/preview,"Fan depicting scenes from Romance of the Western Chamber, one of a pair"
,,1981,,,,"Ye Gongchao (Chinese, 1904 - 1981)",Not on view,images_china/asian_china590.jpg,,"This piece was one of the last (if not the last) calligraphic works that Ye Gongchao rendered before his hospitalization on October 6, 1981. Inspired by discussing poetry with a friend in his studio, Ye created this copy of a Du Fu poem titled ""Spring Prospect"" (Chunwang). Written in the year 757, the poem makes clear Du Fu's abiding concern for what many considered to be China's unfortunate fate. One year before, Du had left his family in an attempt to serve the exiled emperor Xuantong in the northwestern province of Ningxia. On the way Du was captured by An Lushan's troops and escorted back to the capital. Du expressed his grief in the form of laments about his captive status; it is said that during this period he lost so much hair that what was left was too thin to be held up by a hairpin. This poem reads: The nation [is] shattered, though mountains and rivers remain. The city in spring, grass and trees have grown deep. Feeling the time, even flowers draw tears. Resenting separation, even birds strain the heart. Beacon fires unstoppable through the third month, A letter from home [is] worth ten thousand in gold. Hairs whitened, fewer for the scratching; Desires upset no longer hold a hairpin up.",,,Painting,"H. 11 7/8 in x W. 26 1/4 in, H. 30.2 cm x W. 66.7 cm (image); H. 13 1/8 in, 33.3 cm (overall)",The Yeh Family Collection,,2007.123,Ink on gold-flecked paper,,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/9011/preview,Poem by Du Fu In Cursive Script (Caoshu)
,,approx. 1850-1900,,,,,On view,images_china/asian_china591.jpg,,"Snuff Bottles The Chinese specially designed bottles to hold snuff—a preparation of powdered tobacco enhanced with spices that is made to be inhaled. Introduced to the Qing court by Europeans in the late 1600s, snuff taking became an imperial habit, and many bottles were produced for the court. Besides clearing one’s sinuses, snuff was also believed to relieve headaches, and by the early nineteenth century its inhalation had become a widespread practice in China. Early examples were simple in form, but by the late 1700s medicinal bottles had evolved into beautiful works of art that were viewed as collectors’ items. The appeal of these bottles to collectors continues to this day. Snuff bottles are a reflection of Chinese art in miniature form. They are especially rich in Chinese symbols because, as objects carried on one’s person, they reflect the sentiments of their owners. Their decorations frequently symbolize the owner’s wishes for blessings, numerous offspring, wealth and rank, and longevity.",,Qing dynasty (1644-1911),Decorative Arts,"H. 2 1/2 in x W. 2 1/8 in x D. 1 1/2 in, H. 6.3 cm x W. 5.4 cm x D. 3.8 cm",Bequest of Drs. Ben and A. Jess Shenson,,2010.145.a-.c,Porcelain with underglaze blue and overglaze red decoration,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/9885/preview,Double snuff bottle with dragons
,,approx. 1375-1525,,,,,Not on view,images_china/asian_china592.jpg,,"Celadon Celadon is a Western term for ceramic wares with glazes ranging in color from light bluish green to olive green. Such wares were first made in China, and became some of the most admired ceramics in the world. China's neighbors Korea, Japan, and Thailand were eager to create celadon wares of their own that would equal the beauty of the Chinese versions. Chinese celadons had always been sought after in Korea, Japan, and Southeast Asia. They had also been exported in quantity to Persia, Turkey, and Egypt from the 1100s onward. Celadons were so valuable in trade that ceramics workshops in Thailand produced large numbers of them to compete with the Chinese for sales in Indonesia and the Philippines. Between 1000 and 1400 Korea produced a jade-like celadon admired by connoisseurs all over the world. Korea also produced inlaid celadons, some of which have been found as far away as the Philippines.",,,Ceramics,"H. 7 1/4 in x D. 4 3/4 in, H. 18.4 cm x D. 12.1 cm",The James and Elaine Connell Collection of Thai Ceramics,,1990.105,High-fired ceramic with celadon glaze,"Si Satchanalai, Thailand",Southeast Asian Art,https://searchcollection.asianart.org/internal/media/dispatcher/726/preview,Vase
,,1780,,,,,Not on view,images_china/asian_china593.jpg,,"Ratnasambhava (“jewel born”) is the buddha of the south cardinal direction. He is third among the Five Cosmic Buddhas of Tibetan Buddhism. He is identified by his yellow color and the position of his right hand, which is lowered in the gesture of gift granting. Amitayus, the Buddha of Infinite Life, floats above him to grant longevity to China’s Qianlong emperor (reigned 1736-1795), who probably commissioned the painting. Below Ratnasambhava are the goddesses White Tara and Green Tara. This work, executed in the Tibetan Buddhist tradition, contains a background derived from Chinese blue-and-green landscapes. The painting belongs to a large set of thangkas commissioned for the Xumifushou Monastery, which was built near the Summer Palace of Jehol (north of Beijing) by Emperor Qianlong for the sixth Panchen Lama’s visit to celebrate the emperor’s seventieth birthday in 1780. This temple is a replica of the Tashi Lhunpo Monastery, the Panchen Lama’s monastic seat in Shigatse, Tibet.",,Qianlong emperor (1736–1795),Painting,"H. 50 3/8 in × W. 30 in, H. 128 cm × W. 76.2 cm (image); H. 69 7/8 in × W. 38 1/4 in, H. 177.5 cm × W. 97.2 cm (overall)",Gift of John Sheldon Osborne,,B83D6,Ink and color on cotton,"Chengde, Hebei Province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/59703/preview,The Cosmic Buddha Ratnasambhava
,,1800-1900,,,,,Not on view,images_china/asian_china594.jpg,,"At the center of this painting sits the arhat Hvashang, whose name translates literally as “Chinese monk.” Like the other arhats, he is a historic figure. Unlike them, however, he was anachronistically sent by a seventh-century Tang emperor to invite the Buddha Shakyamuni to China. But since the Buddha had already been deceased for a thousand years, Hvashang’s invitation was instead answered by sixteen arhats, who rose from the sea at his behest, and in defiance of time. In China, Hvashang thus became the seventeenth arhat, and their de facto patron. Since then, almost all Himalayan arhat painting sets have included the patron Hvashang, whose iconographic features include his portly size, bead mala (string of prayer beads), and bald head. Beneath Hvashang left to right are Virudhaka, blue and bearing a sword, and Dhritarashtra, who strums his telltale lute.",,,Painting,"H. 23 3/4 in x W. 17 in, H. 60.3 cm x W. 43.2 cm (image); H. 45 in x W. 33 in, H. 114.3 cm x W. 83.8 cm (overall)",The Avery Brundage Collection,,B62D44,"One of seven images, colors on cotton",Tibet,Himalayan Art,https://searchcollection.asianart.org/internal/media/dispatcher/20387/preview,The guardian Hvashang and the guardian kings Virudhaka and Dhritarashtra
,,1750–1850,,,,,Not on view,images_china/asian_china595.jpg,,"The horizontal picture in the upper portion of this altar frontal features a popular theatrical scene. Set in a snowy, rugged terrain is the female rider named Wang Zhaojun who is accompanied by an entourage of three figures. The group appears as if parading on a stage—the main character Zhaojun is led by a player lifting a folding fan and an acrobat doing a somersault; she is also followed by a female attendant carrying a flag. Many plays portrayed Emperor Yuandi (died 33 bce) of the Han dynasty and Lady Zhaojun as tragic lovers. It is said that Yuandi thought of Zhaojun as less beloved based on her portrait and thus gave her to the nomadic leader as part of a peace agreement. However, at the last moment the emperor discovered this palace woman’s exceptional beauty, but it was too late to cancel the edict and keep her in his harem. Many scenes in Chinese visual arts depict Lady Zhaojun crossing the borderlands with symbolic elements, as in this tapestry. Zhaojun wears a feathered headdress and carries a lute-like instrument (pipa). These items represent the ambiguity in ethnic and cultural identity that has accompanied the development of the story. The feathered headdress often appears in operas on nomadic characters from the steppe. Having Zhaojun donning this headdress suggests her new Xiongnu identity after marriage, yet the pipa keeps her tied to her Han Chinese cultural roots.",,Qing dynasty (1644-1911),Textiles,"H. 41 in x W. 41 in, H. 104.1 cm x W. 104.1 cm","Transfer from the Fine Arts Museums of San Francisco, Gift of Carlotta Mabury",,B81M28,Slit silk tapestry (kesi),China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/28269/preview,Altar frontal depicting Wang Zhaojun’s departure to nomadic borderland
,,1271-1368,,,,,On view,images_china/asian_china596.jpg,,"Togchas Togchas (Tibetan: Thog-lcags) are metal objects believed by Tibetans to have fallen from the sky and are thus highly treasured as powerful talismans for warding off evil. The words thog (thunder and lightning) and lcags (iron) indicate that these metal objects are associated with specific atmospheric phenomena. The fact that togchas are found by chance by Tibetan peasants working in the fields or picked up by nomads in the highlands has led to the belief that they were not created by human hands but “fell from the sky” due to the effects of thunder and lightning. Tibetans wear togchas on their bodies and fondle them with their hands; some togchas develop a patina from constant handling. Togchas, although found in Tibet, are not necessarily Tibetan in origin. For example, no. 1 is a Chinese Tang-dynasty image of the Buddha Maitreya that probably came into Tibet with the first transmission of Buddhism, when the Tibetan king Tsongtsen Gampo married Buddhist princesses from China and Nepal.",,Yuan dynasty (1271-1368),Metal Arts,"H. 1 1/2 in x W. 1/2 in x L. 1 1/4 in, H. 3.8 cm x W. 1.3 cm x L. 3.2 cm",Gift of Robert Tevis,,1993.123,Bronze,China,Himalayan Art,https://searchcollection.asianart.org/internal/media/dispatcher/2298/preview,Seal with horse and rider
,,approx. 1450-1500,,,,,Not on view,images_china/asian_china597.jpg,,"Celadon Celadon is a Western term for ceramic wares with glazes ranging in color from light bluish green to olive green. Such wares were first made in China, and became some of the most admired ceramics in the world. China's neighbors Korea, Japan, and Thailand were eager to create celadon wares of their own that would equal the beauty of the Chinese versions. Celadon became an important item in international trade. Chinese celadons had always been sought after in Korea, Japan, and Southeast Asia. They had also been exported in quantity to Persia, Turkey, and Egypt from the 1100s onward. Celadons were so valuable in trade that ceramics workshops in Thailand produced large numbers of them to compete with the Chinese for sales in Indonesia and the Philippines. Between 1000 and 1400 Korea produced a jade-like celadon admired by connoisseurs all over the world. Korea also produced inlaid celadons, some of which have been found as far away as the Philippines.",,,Ceramics,"H. 3 5/8 in x Diam. 11 1/4 in, H. 9.2 cm x Diam. 28.6 cm",Gift of Dennis Kendig,,2010.493,Stoneware with celadon glaze,"Si Satchanalai, Thailand",Southeast Asian Art,https://searchcollection.asianart.org/internal/media/dispatcher/10626/preview,Dish from the Royal Nanhai shipwreck
,,1822,,,,,Not on view,images_china/asian_china598.jpg,,"The Hoi An Wreck By 1500, kilns in northern Vietnam were producing vast quantities of high-quality blue-and-white ceramics for export. Vietnamese wares of this period have been found from Japan to Turkey, but the primary market for these ceramics was Southeast Asia. All of the items in this case were excavated from a shipwreck found off the coast of Vietnam near the city of Hoi An. It is believed this ship originated in Siam (now known as Thailand) and was one of many vessels sailing between that country and the north coast of Vietnam. Much of the cargo may have been destined for Indonesia, where similar objects have been found. Excavation of the vessel yielded over a quarter-million items. The skill of the artists can be seen in the wide variety of wares produced as well as in the range of motifs-from floral to fantastic. Chinese Ceramics for Asian Markets For more than a thousand years, China has been exporting large quantities of ceramics to other Asian countries, and the trade in pottery and porcelain has been an important component of the world economy. Some areas, such as the islands of Indonesia, did not have large-scale ceramics industries of their own. Others, such as Japan, Persia, and Siam (now known as Thailand), had such industries but still wanted Chinese wares, some of which were technically superior to most of their locally made wares. Merchants and suppliers learned early on that they could sell more of their products by customizing them for the needs and tastes of various foreign markets. For instance, Persia would buy large plates on which to serve dishes such as pilaf, and Siam would buy teapots decorated by the Chinese with Thai designs.",,"Qing dynasty (1644-1911), Reign of the Daoguang emperor (1821-1850)",Ceramics,H. 6 1/4 in x Dia. 9 in; H. 15.9 cm x Dia. 22.9 cm,Gift of Mrs. James Rudden,,2010.430.a-.b,Stoneware with marine deposits,"Jiangsu province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/10514/preview,Teapot
,,1912-1949,,,,,Not on view,images_china/asian_china599.jpg,,"(One of a set of eighteen) The luohans were the disciples of the Buddha Shakyamuni, who told them to stay on earth and spread the doctrine. They are revered in China, and a special hall for their worship is set aside in every Buddhist temple. The luohans are often depicted with expressive faces.",,,Decorative Arts,"H. 9 1/2 in x W. 2 3/4 in x D. 2 1/2 in, H. 24.1 cm x W. 1.2 cm x D. 6.3 cm",Gift in memory of Lee Herbert Fahnestock,,1992.91.4,Ivory,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/1707/preview,One of the eighteen luohans (arhats)
,,1912-1949,,,,,Not on view,images_china/asian_china600.jpg,,"(One of a set of eighteen) The luohans were the disciples of the Buddha Shakyamuni, who told them to stay on earth and spread the doctrine. They are revered in China, and a special hall for their worship is set aside in every Buddhist temple. The luohans are often depicted with expressive faces.",,,Decorative Arts,"H. 9 1/2 in x W. 2 3/4 in x D. 2 1/2 in, H. 24.1 cm x W. 1.2 cm x D. 6.3 cm",Gift in memory of Lee Herbert Fahnestock,,1992.91.5,Ivory,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/1708/preview,One of the eighteen luohans (arhats)
,,1912-1949,,,,,Not on view,images_china/asian_china601.jpg,,"(One of a set of eighteen) The luohans were the disciples of the Buddha Shakyamuni, who told them to stay on earth and spread the doctrine. They are revered in China, and a special hall for their worship is set aside in every Buddhist temple. The luohans are often depicted with expressive faces.",,,Decorative Arts,"H. 9 1/2 in x W. 2 3/4 in x D. 2 1/2 in, H. 24.1 cm x W. 1.2 cm x D. 6.3 cm",Gift in memory of Lee Herbert Fahnestock,,1992.91.6,Ivory,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/1709/preview,One of the eighteen luohans (arhats)
,,1912-1949,,,,,Not on view,images_china/asian_china602.jpg,,"(One of a set of eighteen) The luohans were the disciples of the Buddha Shakyamuni, who told them to stay on earth and spread the doctrine. They are revered in China, and a special hall for their worship is set aside in every Buddhist temple. The luohans are often depicted with expressive faces.",,,Decorative Arts,"H. 9 1/2 in x W. 2 3/4 in x D. 2 1/2 in, H. 24.1 cm x W. 1.2 cm x D. 6.3 cm",Gift in memory of Lee Herbert Fahnestock,,1992.91.7,Ivory,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/1710/preview,One of the eighteen luohans (arhats)
,,1912-1949,,,,,Not on view,images_china/asian_china603.jpg,,"(One of a set of eighteen) The luohans were the disciples of the Buddha Shakyamuni, who told them to stay on earth and spread the doctrine. They are revered in China, and a special hall for their worship is set aside in every Buddhist temple. The luohans are often depicted with expressive faces.",,,Decorative Arts,"H. 9 1/2 in x W. 2 3/4 in x D. 2 1/2 in, H. 24.1 cm x W. 1.2 cm x D. 6.3 cm",Gift in memory of Lee Herbert Fahnestock,,1992.91.8,Ivory,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/1711/preview,One of the eighteen luohans
,,approx. 950-1000,,,,,Not on view,images_china/asian_china604.jpg,,"Kundika and Kendi The kundika, as it is called in the classical language of northern India, is a type of vessel made in a variety of materials and found in many parts of Asia. The defining characteristic of these vessels is that they have a mouth and a spout but no separate handle. This pouring vessel, usually of metal, seems to have been commonly used in ancient India for several purposes. It was convenient and hygienic to drink from because the liquid could be poured into the mouth without the lips touching the vessel. Also, such vessels were used for pouring holy water or other liquids in religious rituals. In artistic representations, kundika are shown being held by certain deities, both Hindu and Buddhist. The form reached China, Korea, and Japan with the spread of Buddhism. The kendi (a Malay/Indonesian term) is a variation of the kundika; usually of rather squat proportions and made of ceramic, kendi were widely used in Southeast Asia. The demand for these vessels in Indonesia was so great that they were produced in China, Japan, Thailand, and Vietnam and exported to Indonesia",,Goryeo dynasty (918-1392),Ceramics,"H. 10 1/2 in x Diam. 5 in, H. 26.7 cm x Diam. 12.7 cm",Gift of the Asian Art Museum Foundation,,B67P67,Stoneware,Korea,Korean Art,https://searchcollection.asianart.org/internal/media/dispatcher/23049/preview,Kundika
,,1551-1601,,Momoyama period (1573-1615),,"Attributed to Kano Soshu (Japanese, 1551-1601)",Not on view,images_china/asian_china605.jpg,,"Exotic equestrian sports captured the interest of Japanese warriors in the late 1500s, a time of heightened curiosity about foreigners and their customs. In this pair of screens, the riders are Tatars (also known as Tartars), nomadic tribesmen who lived north and west of China. A lively polo game occupies the center of the right screen, where mounted Tatars compete between decorated goal posts. In the left screen, excited hunters converge upon prey ranging from humble goats to exotic leopards. Gold clouds separate spectators, including aristocratic-looking figures in tented enclosures, from the main action. Observing the action from a vantage point in the mountains above the hunt is a figure that may be the Tatar ruler (top left corner of the left screen). The artist, a member of the Kano atelier, appears to have based the distinctive features and costumes of the Tatars on Chinese models such as Ming-dynasty paintings of the theme “Lady Wenji’s Return to China” (Wenji Guihan). His achievement was to combine these borrowed elements in lively action scenes unfolding within a panoramic landscape.",,,Painting,"H. 65 1/2 in x L. 137 in, H. 166.4 cm x L. 348 cm (image); H. 72 in x L. 143 3/4 in, H. 182.9 cm x L. 365.1 cm (overall)",Museum purchase,Japanese,B69D18.b,"Ink, colors and gold on paper",Japan,Japanese Art,https://searchcollection.asianart.org/internal/media/dispatcher/73311/preview,"Tartars playing polo and hunting, one of a pair"
,,1328,Seal: Xuexin zhai雪心齋( 朱文方印)；The Dong from  Luoyang 洛陽董氏( 朱文方印)。,,,"Dong Fu (Chinese, active 1300 - 1400)",Not on view,images_china/asian_china606.jpg,,,,Yuan dynasty (1271-1368),Painting,Image (1st from right): H. 9 3/4 in × W. 29 in (24.8 cm × 73.7 cm) Image (2nd from right): H. 10 in × W. 168 5/8 in (25.4 cm × 428.3 cm) Image (3rd from right): H. 10 1/2 in × W. 36 in (26.7 cm × 91.4 cm) Overall: H. 12 5/8 in × W. 334 5/8 in (32.1 cm × 849.9 cm),The Yeh Family Collection,,2009.18,Ink on silk,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/61806/preview,"Thousand-Character Essay (Qianziwen), in Semicursive Script (Xingshu)"
,,1644,Seal：“傅山之印”白文方印。,,,"Fu Shan (Chinese, 1606 - 1684)",Not on view,images_china/asian_china607.jpg,,"This exceptionally rare and important piece documents the life of Fu Shan, one of China's great calligraphers, in the years following 1644, when the Ming dynasty (1368–1644) fell to foreign invaders. The last colophon on this piece was written by a Cantonese named Hanmu. It states that Ye Gongchuo collected this piece in 1916 and asked Hanmu to write a colophon on it. Not until a year later, though, when he was inspired by his studio's surroundings, did Hanmu actually write this colophon. Sitting in the studio on a rainy autumn day, enjoying antiques nearby and green pine trees outside, Hanmu felt his world was the remote peaceful ""peach blossom village"" described by the poet Tao Qian (365–427). The political turmoil that marked the end of the Ming dynasty forced Fu Shan to flee in 1644 to a village in northwest China, hundreds of miles from his home. This period of exile was to last through 1652. As an expression of his grief, sorrow, and anger, Fu wrote seventeen short pieces in various styles; all seventeen are preserved in this handscroll. Entitled Jiashen ji (A collection of the year jiashen) by the artist, this entire work is a protest against the Manchu rulers, who destroyed the Ming dynasty and established the Qing.","甲申集。朱衣道人真山作。

Section 1東池元夜
東池元夜月，故為寓人青。樹影冰塘靜，綃生淡墨娉。群兒嬉火塔，立我得漁亭。紅葉松扉小，僧燈應未扃。

Section 2七亘老杏
厓邊紅瑟瑟，老杏懶於開。悔不斧斤斷，便隨時令摧。眾憐春色冷，獨敬傲枝才。對酒不成醉，原非狂藥媒。

Section 3東池得家信依右玄寄韻
紫水舊榆城，悲凉水木楹。畫蘭難畹地，識字即瓜坑。池洑萍魚遠，花稍麻鵲輕。家書顛倒讀，有淚不知傾。
       
Section 4題陳十右玄買得韓雨公所藏管畫
名畫滿兵市，貪夫賁育構。管紙淡無色，不顧慮難售。一士非新人，識自水園舊，見之動金石，饑餓忘前後。易歸意何得，似在園主遘。俗奴殊此義，真假滋疵咎，或復貌賞識，感傷為管瘦。手捫心代驚，幸畫無情竇。願言為畫謝，憐儂無地受。即使真有情，娉婷從少疚。砧藁嫁兩翰，習見未為垢。尚悔减紅綠，令人不騖走。今歸故人笥，得無怨側陋。

Section 5雨
可惜清明雨，濛濛及此都。誣教田舍老，真作旱雲蘇。羞客深垂笠，臨岐懶問途。春光難著眼，花栁不如無。

Section 6自顧
自顧亦何陋，乾坤雜我廬。星河照雙淚，騷楚異三閭。偃卧常蒙袂，何門可曳裾？壺觴愁不解，悔讀古今書。

Section 7賤殺
賤殺栁顏厚，不知春屬誰。臨風弄新翠，倒影翳清池。意自能張緒，觀縱不漢儀，快心須一劍，砍卻看平夷。

Section 8願旱二首
雨浸人心熄，旱燒冀復燃。燒之竟不熱，心臭腥寥天。願訴祝融帝，火龍揮三千。烈焰吐一世，熸此汚邪原。大地見高明，菑金頌聖賢。皇天知好生，安用禽獸填？烈哉伯益勳，上帝俞其炎。桓宣記有年，孔子尚不然。
吾度夷齊心，不惡肥遺蛇。神州不生草，誰當有室家。釆釆首陽薇，豈能獨萌芽。樂哉無可食，早死心魂嘉。
    夏五過黃玉、黃土之師賈生，思卧，黄±具秋簟，樓外請賈生小憩。予戲曰：是謂曬尸，以師尸同聲。賈生冏，忌不吉語，遽起不卧。吾便便據之有詩遣憤。
日夕直沔死，涕零吊屈時。哥舒誅既晚，魏勝起何其。枕簟高樓敝，河山決眥窺。此生無可用，偃仰曬吾尸。

Section 9題昌穀堂字，率意所及多蔓，不責侖昚
一舞而見殺，有唐食馬報。歌工聲如雷，霹靂哀號叫。王鄭高才士，忍死戴紗帽。貴賤義懸紇，顛倒憤懷抱。不謂工書王，XX邀賊笑。不負臨寫池，絳碑就將造(府《寶賢堂帖》傳云摹自《絳帖》)。始知北地王，衒技少可耀。不然何無俚，淒涕哭宗廟。朽材分溝斷，翻譽為忠孝。百能即有濟，天受此墨妙。兒子習琵琶，指備身口道。所利有大小，得計則同調。宜乎略有能，惟嫌不冶躍，戴絃不輕鼓，老迂昧窽導。雲林重寫人，防人或有肖。貧道簡金石，念茲仰高蹈。作字如作人，亦惡帶奴貌。試看魯公書，心畫自孤傲。生死不可迴，豈為亂逆要。老倪真侷僵，未但言論峭。糞船而燒香，不受張吳召。

Section 10 悼古遺二首 
龍渊歸匣蚤，剸斷未成風。慨有籌邊志，長虛定遠功。胼胝殘邑調，痛哭夕郎封。未斂元龍氣，憎來田舍翁。
卜館寒氊破，袁山春座融。重貽朋友怨，羞與若疊同。髯戟無容冶，官輕有仆忠。規容田畫填，一簡射狐雄。
    曹子歷三縣，皆殘破治有聲。壬午冬，選兵科，差堅清上谷，復命稱旨。上疏請巡閱九邊要塞，以長城自許。未幾，卒始終以豪氣不除，為鄉里所忌。貧道有書遣曹公，諫官當言天下第一事。不月，曹子露章劾首輔，周廷儒罷相。

Section 11七賢祠(七賢者趙宣子、韓厥、程嬰、公孫杵臼、鉏麑、靈轍提、 彌明)
疏柏糅高楸，哀陰古祠假。簡樸貌七子，看目光進野。宣孟顏不舒，受法無以寫。韓子矜而恭，意注舉我者。腷臆哉彌明，殺獒怒未解，桑餓釋菜色，報德果然也。還顧觸槐人，恬然嗔怨寡。公孫死既烈，豊温像安暇。為易事已了，道腴自閒雅，肅容禮程公。癯惨神獨冷，保孤終下報，憂瘁量難舍。惻惻流離子，淚酹無孟斝。乾坤此何時，七尺未狗馬。龍髯不及攀，前星暗天下。亭毒三百年，寰海盡聾啞。草莽唯一 死，死恐未蕭洒，仰天看怒雲，驚如義旗哆。
祠僧患風不能禮客，既令其徒以筆硯留題，貧道怪其意。曰：聞名能詩。許再復之，因自嘆有作。
毛錐不殺賊，吟情附雙淚。男兒生何為，壯業雕蟲蔽。悲壯浣花老，顛躓雍梁際。忠憤發全聲，誰識此翁志。當年事如何，哥舒失險備。上皇樂游覽，八駿馭西轡。翠葆駐蠶叢，百靈擁先帝。靈武正飛龍，四海仰新制。行在尚可達，不負間關致。元勳推郭李，河山破復易。口號記天誅，劍外喜收薊，哀哉生不辰，英雄遁何地。絕裾懲太真，棲棲尸饔計。知名不賞藥，月露遂成祟。投筆起新聲，雄劍為誰礪？老衲好客詩，七字知客意。
        
Section 12聊以復祠僧二首
身隱文焉用，山僧乃勸詩。顧瞻七子貌，蕭索五城詩。苦柏神壇暗，秋陰天意悲。此中題不得，羞殺壯夫為。
老衲亦知否，七人不盡賢。鈞衡容逆賊，神笏愧香煙，獨有雙忠烈，餘皆一節全。李公碑贊好，斟酌序當年(祠有李公濂二碑，一記七贊)。
       
 Section 13悼赤城兄( 赤城，唯王孫，城破投玄通觀前井死)
落落憶朱霞，天空芳草涯。少年知赴國，勇死痛遺家。清冽琳宮井，深沉玉樹花。衰翁持病母，誰與濟兵笳。
         
Section 14頓村舅家作
老屋簪弱櫃，中霄月漏亮。四壁翠莓衣，稱吾窮宅相。須眉負日月，凍餓死何悵！漢季一寒貧，無聊與友尚。華屋豈不宜，魂夢亦羞傍，匈奴何與漢，為家耻大將。
    
Section 15小樓
小樓秋暑歇，片席寐無聰。袖許高雲度，艱難尺土踪，夢廻赤帝劍，書落白榆風。幾個陀羅樹，亭亭到眼中。
    
Section 16間關上陀羅山二首
東海西崑未得過，秋風吹落上陀羅。陸離雲粉冰晴雪，菡蓞巒蕤演石波。一撮緇新書劍卷，九原封舊涕洟多，桃源直處忘情士，處士陶潛奈若何。
南峯落落不多松，濤冷新秋帶石洶。黄面思惟悲大地，白衣客子嘯長風。崗巒龍舞英雄眼，日月烏號夢寐中。千里神州無好聽，老僧雙耳妙能聾。
        
Section 17追悼曹子二首。向與居實論甲申閣部之師，曹子苦在必請纓，誓死以信奇節，必不容其觀望不前也。因有此作。
沃相滹沱望，参軍巾幗瞠。古遺若未死，雄志必先鳴。桃劍揮猿臂(曹長臂)，妖欃怯虎旌。井陘單騎出，誰敢不駪征？
可惜一腔血，無由灑戰場。固関迴晋鄙，朱亥不從行。骨冷金臺雪，魂飛白簡霜。無衣賦雲表，哭訴九頭閶。
    
Section 18早起高眺
朝霞紅枕簟，深樹碧鬚眉。雲過看能飽，情來淚是詩。周琥稽北日，許靖隔南時。不死其何戀，高樓一客知。",Ming dynasty (1368-1644) or Qing dynasty (1644-1911),Painting,"H. 11 9/16 in x W. 98 1/2 in, H. 29.4 cm x W. 260.2 cm (image); H. 13 7/8 in, 35.2 cm (overall)",The Yeh Family Collection,,2004.32,ink on paper,,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/4667/preview,Collection from the Year Jiashen (1644) In Standard Script (Kaishu)
