Title,Artist,Place of Origin,Date,Material,Dimensions,Credit Line,Object Number,Object Name,Type,Style,On View,inscribed/Inscripions,Description,save_path,Image URL,Unnamed: 16,Medium,Museum
"Rim fragment, number on piece ""west"" E4a",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2428.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-735_1,,,Smithsonian Institution
Mirror,,China,618-907,,Diam x D: 17.1 x 1.7 cm (6 3/4 x 11/16 in),Gift of Charles Lang Freer,,,Mirror,,,,,All_images\image2429.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5992_01,,Bronze,Smithsonian Institution
"Chinese stone seal; reads, ""Hsuan-t'ung yu-pi chih pao""; 2 entwined dragons on top",,China,,,H x W x D (overall): 10.1 x 9.3 x 9.3 cm (4 x 3 11/16 x 3 11/16 in),Gift of Mrs. John Alexander Pope,,,Tool and Equipment,,,,,All_images\image2430.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-S-76_1-000001,,Stone,Smithsonian Institution
Poem in running script,Gao Shiqi (1645-1703),China,late 17th century,,H x W: 122.5 x 49 cm (48 1/4 x 19 5/16 in),Purchase — Charles Lang Freer Endowment,,,Calligraphy,,,,,All_images\image2431.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7492_29,,Hanging scroll; ink on satin,Smithsonian Institution
Bowl,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2432.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-891_1-000004,,,Smithsonian Institution
"Foliate dish, broken and repaired with staples",,"Nanshan kilns, Jiangxi province, China",1127-1279,,,Gift of Mrs. Weir Gilmer,,,Vessel,,,,,All_images\image2433.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-139V1,,,Smithsonian Institution
Mold for a bottle,,"Ding kilns, Hebei province, China",11th-early 12th century,,,Purchase — Charles Lang Freer Endowment,,,Tool and Equipment,,,,,All_images\image2434.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-215v1,,Unglazed stoneware,Smithsonian Institution
The Bodhisattva Wenshu (Manjusri),Formerly attributed to Lu Lengjia (active 730-760),China,17th century,,H x W: 72.7 x 51.1 cm (28 5/8 x 20 1/8 in),Gift of Eugene and Agnes E. Meyer,,,Painting,,,,,All_images\image2435.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5026_10,,Ink and color on silk,Smithsonian Institution
Garment hook,,China,400-200 BCE,,H x W x D: 4.1 x 1.1 x 1 cm (1 5/8 x 7/16 x 3/8 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2436.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6191_08,,Bronze,Smithsonian Institution
"Bowl, fragment of wall and base with potter's mark",,"Liulichang kiln site, Chengdu, Sichuan province, China",1127-1279,,,Gift of Dr. David C. Graham,,,Vessel,,,,,All_images\image2437.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-169v1,,Stoneware with iron glaze,Smithsonian Institution
Mold for a bottle,,"Ding kilns, Hebei province, China",11th-early 12th century,,,Purchase — Charles Lang Freer Endowment,,,Tool and Equipment,,,,,All_images\image2438.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-202v1,,Unglazed stoneware,Smithsonian Institution
Fragment,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2439.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-809_1,,,Smithsonian Institution
Fragment,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2440.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-821_1,,,Smithsonian Institution
"Fragment, number on piece A3c",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2441.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-780_1,,,Smithsonian Institution
"Blue-and-white; Base sherd, probably of small cup or bowl",,China,,,,Gift of Cynthia R. Helms,,,Vessel,,,,,All_images\image2442.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2609_1,,,Smithsonian Institution
Punch bowl in Rose Mandarin style,,"Jingdezhen and Guangdong provinces, China",early 19th century,,H x Diam: 19.7 x 53 cm (7 3/4 x 20 7/8 in),Bequest of Mary Hale Chase,,,Vessel,,,,,All_images\image2443.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6529_08,,Porcelain with enamels over clear colorless glaze,Smithsonian Institution
Fragment,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2444.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-802_1,,,Smithsonian Institution
Fragment,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2445.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-791_1,,,Smithsonian Institution
Vessel wall and rim (small bowl or cup),,China,,,,Gift of John A. Pope,,,Vessel,,,,,All_images\image2446.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-3283_1,,,Smithsonian Institution
Ritual tablet (gui),,China,"1300--1644, probably 14th century",,H x W x D: 29 x 6.2 x 1.2 cm (11 7/16 x 2 7/16 x 1/2 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.268",,,Ceremonial Object,,,,,All_images\image2447.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8080_08,,Light green glass,Smithsonian Institution
Stylized cloud plaque,,China,618-906,,H x W x D: 6 x 10.5 x 10.5 cm (2 3/8 x 4 1/8 x 4 1/8 in),Gift of The Honorable and Mrs. Hugh Scott,,,Jewelry and Ornament,,,,,All_images\image2448.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5462_09,,Gilt bronze,Smithsonian Institution
Garment hook (daigou),,China,1200-1300,,H x W x D: 8.8 x 2.3 x 2.3 cm (3 7/16 x 7/8 x 7/8 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2449.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6891_02,,Jade,Smithsonian Institution
Fragment,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2450.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-811_1,,,Smithsonian Institution
Title Inscription,Gong Xian (ca. 1610-1689),China,ca. 1678,,H x W (pair): 32.9 x 59.1 cm (12 15/16 x 23 1/4 in),Gift of Arthur M. Sackler,,,Painting,,,,,All_images\image2451.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7282_10,,Ink on paper,Smithsonian Institution
Tea bowl wall and base (fragment),,"Nankang kilns, Jiujiang city, Jiangxi province, China",1127-1279,,,Gift of Mrs. Weir Gilmer,,,Vessel,,,,,All_images\image2452.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-123v2,,,Smithsonian Institution
Bowl or dish (fragment),,"Jiaotanxia kiln site, Hangzhou, Zhejiang province, China",12th-13th century,,,Purchase — Charles Lang Freer Endowment,,,Vessel,,,,,All_images\image2453.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-216v1,,Stoneware with Guan glaze,Smithsonian Institution
Mold for a bowl,,"Ding kilns, Hebei province, China",11th-early 12th century,,,Purchase — Charles Lang Freer Endowment,,,Tool and Equipment,,,,,All_images\image2454.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-203v1,,Unglazed stoneware,Smithsonian Institution
Cicada (chan),,China,206 B.C.-220 CE,,H x W x D: 7.4 x 3 x 0.9 cm (2 15/16 x 1 3/16 x 3/8 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.278",,,Sculpture,,,,,All_images\image2455.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8083_22,,Jade,Smithsonian Institution
"Green-glazed ware, body sherd with rim combed decor",,China,,,,Gift of John A. Pope,,,Vessel,,,,,All_images\image2456.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-3542_1,,,Smithsonian Institution
"Rim fragment, number on piece #69",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2457.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-666_1,,,Smithsonian Institution
Fragment broken in two,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2458.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2771_1,,,Smithsonian Institution
"Fragment, number on piece A3c",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2459.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-779_1,,,Smithsonian Institution
Foot-rim fragment,,"Longquan, Zhejiang province, China",1127-1279,,,Gift of C.F. Yau,,,Vessel,,,,,All_images\image2460.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-1115.1_1-000002,,Stoneware with Guan style glaze,Smithsonian Institution
Fragment,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2461.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-810_1,,,Smithsonian Institution
Bottle or vase neck and lip fragment,,"Longquan, Zhejiang province, China",1127-1279,,,Gift of C.F. Yau,,,Vessel,,,,,All_images\image2462.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-1101_1-000002,,Stoneware with Guan style glaze,Smithsonian Institution
"Fragment, number on piece 2136",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2463.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-730_1,,,Smithsonian Institution
Quail,,China,600-1000,,H x W x D: 4.7 x 6.8 x 3.8 cm (1 7/8 x 2 11/16 x 1 1/2 in),Gift of Arthur M. Sackler,,,Sculpture,,,,,All_images\image2464.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6891_09,,Jade,Smithsonian Institution
Fragment of wine-cup from lip,,China,,,,Gift of John de Bry,,,Vessel,,,,,All_images\image2465.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2736_1,,,Smithsonian Institution
Poem in standard script,Chen Yuansu (active 1606-after 1631),China,early 17th century,,H x W: 31.8 x 60.9 cm (12 1/2 x 24 in),Purchase — Charles Lang Freer Endowment,,,Calligraphy,,,,,All_images\image2466.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7450_11,,Album leaf; ink on gold-flecked paper,Smithsonian Institution
Conical bowl,,China,"1700-1800, probably 1700-1735",,H x Diam (overall): 6.5 x 20.3 cm (2 9/16 x 8 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.265.2",,,Vessel,,,,,All_images\image2467.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8092_14,,Glass,Smithsonian Institution
Lobed bowl,,China,1700-1735,,H x Diam (overall): 6.6 x 24.7 cm (2 5/8 x 9 3/4 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.255.10",,,Vessel,,,,,All_images\image2468.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8092_09,,Blow-formed glass,Smithsonian Institution
Five-point kiln stacking disk,,"Jiaotanxia kiln site, Hangzhou, Zhejiang province, China",12th-13th century,,,Purchase — Charles Lang Freer Endowment,,,Tool and Equipment,,,,,All_images\image2469.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-206v1,,Unglazed stoneware,Smithsonian Institution
Base and lower wall fo tea bowl (fragment),,"Nankang kilns, Jiujiang city, Jiangxi province, China",late 13th-late 14th century,,,Gift of Mrs. Weir Gilmer,,,Vessel,,,,,All_images\image2470.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-131v1,,,Smithsonian Institution
Figure of a small bird or fowl,,"Qionglai kiln site, Qionglai, Sichuan province, China",9th-early 10th century,,,Purchased from Dr. David C. Graham,,,Sculpture,,,,,All_images\image2471.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-193v1,,Stoneware with copper-green glaze,Smithsonian Institution
Lobed bowl,,China,1700-1735,,H x Diam (overall): 3.8 x 14.8 cm (1 1/2 x 5 13/16 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.255.11",,,Vessel,,,,,All_images\image2472.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8092_10,,Blow-form glass,Smithsonian Institution
"1 of rubbings of stone relief sculpture at the Lung-men caves, some probably at the Ku-yang Cave; but they cannot be precisely identified from published material. (FSC-R-311 through FSC-R-328)",,China,,,,,,,Rubbing,,,,,All_images\image2473.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8483_27,,Ink on paper,Smithsonian Institution
Tomb model of a granary,,China,2nd century,,H x W x D: 26 x 18 x 17.9 cm (10 1/4 x 7 1/16 x 7 1/16 in),Purchase — Smithsonian Unrestricted Trust Funds,,,Model,,,,,All_images\image2474.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6592_02,,Earthenware with copper-green lead-silicate glaze,Smithsonian Institution
"Bowl, fragment of base",,"Qionglai kiln site, Qionglai, Sichuan province, China",9th-early 10th century,,,Gift of Dr. David C. Graham,,,Vessel,,,,,All_images\image2475.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-183v1,,Stoneware with milky green glaze,Smithsonian Institution
Fragment,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2476.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-823_1,,,Smithsonian Institution
Fragment,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2477.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-798_1,,,Smithsonian Institution
Miniature glazed dish,,"Qionglai kiln site, Qionglai, Sichuan province, China",9th-early 10th century,,,Gift of Dr. David C. Graham,,,Vessel,,,,,All_images\image2478.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-192v1,,Stoneware with yellow glaze,Smithsonian Institution
"Rim fragment of a large cup or small bowl, thinly potted",,China,,,,Gift of John de Bry,,,Vessel,,,,,All_images\image2479.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2742_1,,,Smithsonian Institution
Garment hook,,China,206 BCE-220 CE,,H x W x D: 14.1 x 1.3 x 1.9 cm (5 9/16 x 1/2 x 3/4 in),Gift of The Arthur M. Sackler Foundation,,,Jewelry and Ornament,,,,,All_images\image2480.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7384_30,,"Bronze cast, chased, and inlayed",Smithsonian Institution
"Fragment, number on piece B4b",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2481.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-713_1,,,Smithsonian Institution
"1 of rubbings of stone relief sculpture at the Lung-men caves, some probably at the Ku-yang Cave; but they cannot be precisely identified from published material. (FSC-R-311 through FSC-R-328)",,China,,,,,,,Rubbing,,,,,All_images\image2482.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8483_14,,Ink on paper,Smithsonian Institution
Three Letters,Wang Shouren (1472-1529),China,1521-1525,,H x W (calligraphy): 25.5 x 225 cm (10 1/16 x 88 9/16 in),Purchase — Charles Lang Freer Endowment,,,Calligraphy,,,,,All_images\image2483.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6152_13,,Ink on paper,Smithsonian Institution
"1 of rubbings of stone relief sculpture at the Lung-men caves, some probably at the Ku-yang Cave; but they cannot be precisely identified from published material. (FSC-R-311 through FSC-R-328)",,China,,,,,,,Rubbing,,,,,All_images\image2484.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8483_16,,Ink on paper,Smithsonian Institution
Fragment of wall of (possibly) a small bowl,,China,,,,Gift of John A. Pope,,,Vessel,,,,,All_images\image2485.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-3827_1,,,Smithsonian Institution
Fragment of bowl with rim,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2486.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-632_1,,,Smithsonian Institution
"Box cover, probably kiln waster",,"Probably Shanglinhu kiln site, Zhejiang province, China",possibly 9th century,,,Purchase — Charles Lang Freer Endowment,,,Container,,,,,All_images\image2487.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-223v2,,Stoneware with celadon glaze,Smithsonian Institution
Garment hook,,China,400-200 BCE,,H x W x D: 6.8 x 3 x 1.9 cm (2 11/16 x 1 3/16 x 3/4 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2488.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7384_14,,Bronze,Smithsonian Institution
Chimera,,China,1600-1800,,H x W x D: 3.8 x 5.2 x 3.8 cm (1 1/2 x 2 1/16 x 1 1/2 in),Gift of Arthur M. Sackler,,,Sculpture,,,,,All_images\image2489.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6891_07,,Jade,Smithsonian Institution
Celadon; Fragment with foot-rim and base sections; large dish,,China,,,,Gift of Mrs. Myron B. Smith,,,Vessel,,,,,All_images\image2490.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2612_1,,,Smithsonian Institution
"Rim fragment, number on piece ""west"" D4e",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2491.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-785_1,,,Smithsonian Institution
Small dish with upturned rim,,China,,,,Gift of Jack H. Kent,,,Vessel,,,,,All_images\image2492.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-3639_1,,Porcelain with colorless translucent glaze,Smithsonian Institution
"Rim fragment, number on piece ""west""",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2493.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-885_1,,,Smithsonian Institution
Fragment,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2494.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2766_1,,,Smithsonian Institution
"Box rim, fragment",,"Jiaotanxia kiln site, Hangzhou, Zhejiang province, China",12th-13th century,,,Purchase — Charles Lang Freer Endowment,,,Container,,,,,All_images\image2495.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-212v1,,Stoneware with Guan glaze,Smithsonian Institution
Fragment,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2496.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2750_1,,,Smithsonian Institution
Fragment of neck of cinerary urn,,"Nankang kilns, Jiujiang city, Jiangxi province, China",1127-1279,,,Gift of Mrs. Weir Gilmer,,,Vessel,,,,,All_images\image2497.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-121v2,,,Smithsonian Institution
Jar with two handles,,"Qionglai kiln site, Qionglai, Sichuan province, China",9th-early 10th century,,,Gift of Dr. David C. Graham,,,Vessel,,,,,All_images\image2498.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-168v2,,Stoneware with white slip under clear glaze,Smithsonian Institution
"Stone seal; reads ""Fa-tien li-tao:"" pair of sinuous dragons frame the 4 characters",,China,,,H x W x D (overall): 13.3 x 5.5 x 11 cm (5 1/4 x 2 3/16 x 4 5/16 in),Gift of Mrs. John Alexander Pope,,,Tool and Equipment,,,,,All_images\image2499.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-S-77_1-000001,,Stone,Smithsonian Institution
Large dragon head,,China,,,Weight (overall): 192.8 grams (6.81 oz),Acquired under the guidance of the Carl Whiting Bishop expedition,,,Sculpture,,,,,All_images\image2500.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8507_01,,Stone,Smithsonian Institution
"Bowl, fragment including rim and foot",,"Liulichang kiln site, Chengdu, Sichuan province, China",1127-1279,,,Gift of Dr. David C. Graham,,,Vessel,,,,,All_images\image2501.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-170v1,,Stoneware with white slip under clear glaze,Smithsonian Institution
Bracelet,,China,206 B.C.-220,,H x W x D: 9.1 x 9.1 x 0.8 cm (3 9/16 x 3 9/16 x 5/16 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.258.2",,,Jewelry and Ornament,,,,,All_images\image2502.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-LTS1985.1.258.2_001,,Glass,Smithsonian Institution
Garment hook,,China,400-200 BCE,,H x W x D: 10.7 x 2.1 x 1.8 cm (4 3/16 x 13/16 x 11/16 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2503.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7384_43,,"Bronze, silver, and gold",Smithsonian Institution
"Couplet in ""stone drum"" calligraphy",Qian Daxin (1728-1804),China,1763,,H x W (a: right scroll): 149 x 26.8 cm (58 11/16 x 10 9/16 in),Purchase — Charles Lang Freer Endowment,,,Calligraphy,,,,,All_images\image2504.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7489_38,,Pair of hanging scrolls; ink on gold-flecked paper,Smithsonian Institution
Circular tile fragment,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Architectural Element,,,,,All_images\image2505.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-832_1,,,Smithsonian Institution
Garment hook,,China,480-221 BCE,,H x W x D: 18.5 x 2.7 x 4.1 cm (7 5/16 x 1 1/16 x 1 5/8 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2506.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7384_46,,"Bronze, silver, gold, and turquoise",Smithsonian Institution
"Base fragment of a bowl, with incised decoration underglaze",,"Nanshan kiln site, Jiangxi province, China",1127-1279,,,Gift of Mrs. Weir Gilmer,,,Vessel,,,,,All_images\image2507.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-137v1,,,Smithsonian Institution
Plaque with two animals,,"Inner Mongolia/Ordos, China",206 BCE-220 CE,,H x W: 11.5 x 6.9 cm (4 1/2 x 2 11/16 in),Purchase — Charles Lang Freer Endowment,,,Jewelry and Ornament,,,,,All_images\image2508.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7767_11,,Bronze,Smithsonian Institution
Large dragon head,,"Anyang (modern day), Hebei province, China",6th century,,Weight (overall): 192.8 grams (6.81 oz),Acquired under the guidance of the Carl Whiting Bishop expedition,,,Sculpture,,,,,All_images\image2509.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8507_02,,Stone,Smithsonian Institution
Fragment,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2510.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-793_1,,,Smithsonian Institution
Rim fragment,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2511.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-659_1,,,Smithsonian Institution
Bowl,,"Qionglai kiln site, Qionglai, Sichuan province, China",9th-early 10th century,,,Gift of Dr. David C. Graham,,,Vessel,,,,,All_images\image2512.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-181v1,,Stoneware with copper-green-tinted white slip under clear glaze,Smithsonian Institution
"Base of bowl, part of footrim which is high and thin",,China,,,,Gift of John A. Pope,,,Vessel,,,,,All_images\image2513.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-3817_1,,,Smithsonian Institution
Fragment,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2514.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2751_1,,,Smithsonian Institution
Fragment of base and wall of low vessel,,China,,,,Gift of W. Thomas Chase,,,Vessel,,,,,All_images\image2515.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-3878_1,,,Smithsonian Institution
View of Yaofeng,Jiang Shijie (1647-1709),China,1707,,H x W (image): 54 x 24.2 cm (21 1/4 x 9 1/2 in),Purchase — Charles Lang Freer Endowment,,,Painting,,,,,All_images\image2516.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5326_03,,Ink on paper,Smithsonian Institution
Rock-Clinging Pines in Clouds and Mist,Huang Binhong (1865-1955),China,ca. 1933,,H x W (image): 54.8 x 36.7 cm (21 9/16 x 14 7/16 in),Gift of Arthur M. Sackler,,,Painting,,,,,All_images\image2517.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6883_04,,Ink and color on paper,Smithsonian Institution
Epitaph of Wang Su in standard script 王素墓誌,,China,inscription: 654; rubbing: 20th century,,H x W: 67.6 x 67.3 cm (26 5/8 x 26 1/2 in),Gift of Peking University,,,Rubbing,,,,,All_images\image2518.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7503_05,,Ink on paper,Smithsonian Institution
Calligraphy in running script,Gong Xian (ca. 1610-1689),China,ca. 1678,,H x W: 32.9 x 59.1 cm (12 15/16 x 23 1/4 in),Gift of Arthur M. Sackler,,,Painting,,,,,All_images\image2519.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7282_23,,Ink on paper,Smithsonian Institution
Fragment,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2520.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2760_1,,,Smithsonian Institution
Fragment with rim,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2521.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-649_1,,,Smithsonian Institution
"Rim fragment, number on piece ""west"" D4f",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2522.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-719_1,,,Smithsonian Institution
Buddhist Deity,,China,500-600,,H x W x D: 4.8 x 2.7 x 0.9 cm (1 7/8 x 1 1/16 x 3/8 in),Gift of Arthur M. Sackler,,,Sculpture,,,,,All_images\image2523.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7309_31,,Jade,Smithsonian Institution
