Title,Artist,Place of Origin,Date,Medium,Dimensions,Credit Line,Object Number,Object Name,Type,Style,On View,inscribed/Inscripions,Description,save_path,Image URL
Standing bodhisattva,,China,1644-1911,Stone,H x W x D: 41.9 × 20.9 × 9.9 cm (16 1/2 × 8 1/4 × 3 7/8 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10084.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7755_10
Reclining lion,,China,618-907,"Bronze, gilding",H x W: 5.9 x 11 cm (2 5/16 x 4 5/16 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10085.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7518_27
Fragment of the base and lower wall of a covered box,,"Jingdezhen, Jiangxi province, China",12th-13th century,Porcelain with transparent pale-blue (qingbai) glaze,H x W x D (overall): 2.1 x 6.3 x 7.7 cm (13/16 x 2 1/2 x 3 1/16 in),Gift of Mr. and Mrs. Roy Galloway,,,Container,,,,,All_images1.0\image10086.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-4761v
Fragment of lower section of vessel,,"Changsha Tomb site, China",,Pottery,H x Diam (overall): 4.3 x 8.1 cm (1 11/16 x 3 3/16 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Vessel,,,,,All_images1.0\image10087.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-4216_1-000001
"Fragment, possibly arrowhead",,China,770 BCE-9 CE,Bronze,H: 2.7 cm (1 1/16 in),Gift of Charles Lang Freer,,,Weapon and Armament,,,,,All_images1.0\image10088.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7727_15
Semi-circular plaque (lung),,China,1644-1911,Jade,H x W x D: 15 x 26.4 x 0.6 cm (5 7/8 x 10 3/8 x 1/4 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10089.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7523_37
Manjusri and his lion,Formerly attributed to Yang Ting (8th century),China,1368-1644,Ink and color on paper,H x W: 103.1 x 58.8 cm (40 9/16 x 23 1/8 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10090.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5676_10
Seal of Xie Zhiliu (1910-1997): Zhiliu,Wu Zijian (born 1947),China,1971,Soapstone,H x W x D (overall): 1.4 x 1.5 x 1.7 cm (9/16 x 9/16 x 11/16 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10091.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6014_02_2
Ring,,China,206 BCE-220 CE,Bronze with gilding,Diam: 10.7 cm (4 3/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10092.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7700_01
Seal of Xie Zhiliu (1910-1997): Yuyin,Wu Zijian (born 1947),China,1971,Soapstone,H x W x D (overall): 3.8 x 0.9 x 1 cm (1 1/2 x 3/8 x 3/8 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10093.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6029_04
Base for standard,,China,206 BCE-220 CE,Bronze,Diam: 16.7 cm (6 9/16 in),Gift of Charles Lang Freer,,,Tool and Equipment,,,,,All_images1.0\image10094.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7775_19
Seal of Xie Zhiliu (1910-1997): Bingyutang,Wu Zijian (born 1947),China,1979,Soapstone,H x W x D (overall): 6.6 x 2 x 2 cm (2 5/8 x 13/16 x 13/16 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10095.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6040_06
Seal of Xie Zhiliu (1910-1997): Yuyin fu,Wu Zijian (born 1947),China,1971,Soapstone,H x W x D (overall): 2 x 1.3 x 1.4 cm (13/16 x 1/2 x 9/16 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10096.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6013_10
"Two male figures, standing",Formerly attributed to Cao Ba (ca. 704-ca. 770),China,17th century,Ink and color on silk,H x W (image): 27.2 x 19.1 cm (10 11/16 x 7 1/2 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10097.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7406_42
Mirror (chien),,China,618-907,Bronze,Diam x D: 17 x 0.7 cm (6 11/16 x 1/4 in),Gift of Charles Lang Freer,,,Mirror,,,,,All_images1.0\image10098.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7623_15
Stele with Buddhist triad,,China,581-618 or later,Sandstone,H x W x D: 49.2 x 34.7 x 16.8 cm (19 3/8 x 13 11/16 x 6 5/8 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10099.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7368_20
Mask,,China,206 BCE-220 CE,Bronze with gilding,H x W: 8.8 x 11.6 cm (3 7/16 x 4 9/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10100.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7700_11
Belt section,,China,618-907,Bronze,H x W: 3.8 x 3.6 cm (1 1/2 x 1 7/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10101.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7508_05
Cong,,China,1644-1911,Jade,H x W: 5.2 x 6.9 cm (2 1/16 x 2 11/16 in),Gift of Charles Lang Freer,,,Ceremonial Object,,,,,All_images1.0\image10102.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7313_77
Seal of Xie Zhiliu (1910-1997): Xie Zhi zhi yin,Wu Zijian (born 1947),China,1971,Soapstone,H x W x D (overall): 1.4 x 1.4 x 4 cm (9/16 x 9/16 x 1 9/16 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10103.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6030_10
Double seal of Xie Zhiliu (1910-1997): Yuyin / Kuhuang,Wu Zijian (born 1947),China,1972,Soapstone,H x W x D (overall): 1.7 x 0.7 x 4.1 cm (11/16 x 1/4 x 1 5/8 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10104.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6034_04
Seal of Xie Zhiliu (1910-1997): Kuhuang,Wu Zijian (born 1947),China,1972,Soapstone,H x W x D (overall): 2.3 x 1.3 x 4.2 cm (7/8 x 1/2 x 1 5/8 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10105.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6033_10
Seal of Xie Zhiliu (1910-1997): Zhiliu,Wu Zijian (born 1947),China,1971,Soapstone,H x W x D (overall): 1.4 x 1.4 x 3.9 cm (9/16 x 9/16 x 1 9/16 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10106.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6030_04
"Cock, hen and chickens near peony shrubs",,China,18th century,Ink and color on silk panel,H x W: 65.6 x 115.3 cm (25 13/16 x 45 3/8 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10107.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5706_07
Ladle,,China,206 BCE-220 CE,Bronze,H x W: 19.8 x 9.8 cm (7 13/16 x 3 7/8 in),Gift of Charles Lang Freer,,,Tool and Equipment,,,,,All_images1.0\image10108.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7775_23
Recumbent tiger,,China,1368-1644,Stone,H x W x D (overall): 4.9 x 9.4 x 6.3 cm (1 15/16 x 3 11/16 x 2 1/2 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10109.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7607_23
Fragment of a tile,,China,19th century?,Stoneware with lead-silicate glaze,H x W: 3 x 2.9 cm (1 3/16 x 1 1/8 in),Gift of Charles Lang Freer,,,Architectural Element,,,,,All_images1.0\image10110.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7435_21
Seated lion,,China,1368-1911,Stone,H x W x D (overall): 14.6 x 6.7 x 9.9 cm (5 3/4 x 2 5/8 x 3 7/8 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10111.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7608_07
Ring (banzhi),,China,1644-1911,Jade,H x W: 2.5 x 3 cm (1 x 1 3/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10112.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7678_10
Jar with animal-mask handles,,China,25-220,Stoneware with wood-ash glaze,H x W x D: 20.2 x 26.6 x 25.2 cm (7 15/16 x 10 1/2 x 9 15/16 in),Purchase — funds provided by the Friends of Asian Arts,,,Vessel,,,,,All_images1.0\image10113.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6527_01
Cover,,"Jingdezhen, Jiangxi province, China",16th-mid 17th century,Porcelain with cobalt decoration under clear colorless glaze,H x Diam (overall): 2.7 x 8.5 cm (1 1/16 x 3 5/16 in),Gift of Orville Emory,,,Container,,,,,All_images1.0\image10114.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2608_1-000001
Jun ware dish,,"Henan province, China",12th-mid 13th century,Stoneware with Jun glaze,H x W x D: 3.5 x 15.3 x 15.3 cm (1 3/8 x 6 x 6 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,,,,All_images1.0\image10115.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6229_08
Seal of Xie Zhiliu (1910-1997): Lixia,Wu Zijian (born 1947),China,1971,Soapstone,H x W x D (overall): 4 x 1.6 x 1.6 cm (1 9/16 x 5/8 x 5/8 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10116.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6030_06
Herb-gatherer,Traditionally attributed to Li Cheng 李成 (919-967),China,1368-1644,Ink and color on silk,H x W: 147.3 x 53 cm (58 x 20 7/8 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10117.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5847_03
Ferrule,,"North Gate of Changsha Tomb, China",770 BCE-9 CE,,H x W x D (overall): 7.3 x 3.5 x 2.4 cm (2 7/8 x 1 3/8 x 15/16 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Tool and Equipment,,,,,All_images1.0\image10118.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-595_1
"Possibly harness fitting (?), fragment",,China,,"Bronze, gilding",H x W x D: 7.5 x 11.1 x 1.9 cm (2 15/16 x 4 3/8 x 3/4 in),Gift of Charles Lang Freer,,,Tool and Equipment,,,,,All_images1.0\image10119.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7677_28
Silk-velvet kang (dais) cover,,China,19th century,Velvet,H x W: 420 × 200 cm (165 3/8 × 78 3/4 in),Gift of Charles Lang Freer,,,Costume and Textile,,,,,All_images1.0\image10120.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8546_26
Ancestor tablet,,"Anyang, probably Henan province, China",ca. 1300-ca. 1050 BCE,Jade (nephrite),H x W x D (overall): 11.8 x 1.6 x 0.6 cm (4 5/8 x 5/8 x 1/4 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Ceremonial Object,,,,,All_images1.0\image10121.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-S2012.9.284_001
Ritual disk (bi),,China,1644-1911,Jade,Diam x D: 11.8 x 1.8 cm (4 5/8 x 11/16 in),Gift of Charles Lang Freer,,,Ceremonial Object,,,,,All_images1.0\image10122.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7522_13
Cow,,China,,Silver,H x W: 5 x 8.3 cm (1 15/16 x 3 1/4 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10123.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7677_25
Ornament,,China,ca. 1050-221 BCE,Bronze,H x W: 10.4 x 4 cm (4 1/8 x 1 9/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10124.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7727_19
Pair of hanging scrolls with poetry couplet in oracle-bone script,Dong Zuobin (1895-1963),China,Early-mid-20th century,Ink on paper with silk backing,H x W: 130.5 x 22 cm (51 3/8 x 8 11/16 in),Anonymous gift in honor of Kent H. and Scott N. Redford,,,Calligraphy,,,,,All_images1.0\image10125.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7499_40
Textile,,China,19th century,Gold,H x W: 72.5 x 45 cm (28 9/16 x 17 11/16 in),Gift of Charles Lang Freer,,,Costume and Textile,,,,,All_images1.0\image10126.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7868_22
Cong,,China,1644-1911,Jade (nephrite),H x W: 5.1 x 7.6 cm (2 x 3 in),Gift of Charles Lang Freer,,,Ceremonial Object,,,,,All_images1.0\image10127.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7304_19
Vase,,"Jingdezhen, Jiangxi province, China",1662-1722,Porcelain with cobalt pigment under clear glaze,H x Diam: 61.1 × 5 cm (24 1/16 × 2 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,,,,All_images1.0\image10128.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7980_03
Bead: small oval ring,,China,1644-1911,Jade,H x W: 1.8 x 1.4 cm (11/16 x 9/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10129.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8531_13
"Fragment, possibly a pin",,China,220-589,Bronze with gilding,H x W: 7.3 x 2 cm (2 7/8 x 13/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10130.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7631_40
Bright Snow on Mountains and Streams 《谿山晴雪圖》,Qi Kun 祁昆 (1894-1940),China,1933,Ink and color on paper,H x W (image): 23.6 x 51.2 cm (9 5/16 x 20 3/16 in),Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images1.0\image10131.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7425_46
Ritual disk (bi),,China,1644-1911,Jade,Diam x D: 19.5 × 0.6 cm (7 11/16 × 1/4 in),Gift of Charles Lang Freer,,,Ceremonial Object,,,,,All_images1.0\image10132.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7523_21
"Fragment, possibly arrowhead",,China,770 BCE-9 CE,Bronze,H: 2.7 cm (1 1/16 in),Gift of Charles Lang Freer,,,Weapon and Armament,,,,,All_images1.0\image10133.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7727_16
Ornament,,China,618-907,Bronze,H x W: 11.8 x 10.7 cm (4 5/8 x 4 3/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10134.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7631_36
Two men and a water-buffalo,Formerly attributed to Ma Yuan 馬遠 (active late 12th-early 13th century),China,17th century,Ink on paper,H x W (image): 25.4 x 24.7 cm (10 x 9 3/4 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10135.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7406_17
Bowl,,"Changsha, Hunan province, China",9th century,Stoneware with copper-green tinted opaque glaze,H x Diam (overall): 5.4 x 11.6 cm (2 1/8 x 4 9/16 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Vessel,,,,,All_images1.0\image10136.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-4152_1-000001
Ornament (shi 飾) with mask and headdress,,"Hubei province, Middle Yangzi valley, China",ca. 2500-2000 BCE,Jade (nephrite),H x W x D: 7.7 x 3.3 x 1.4 cm (3 1/16 x 1 5/16 x 9/16 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.276.1",,,Jewelry and Ornament,,,,,All_images1.0\image10137.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-LTS1985.1.276.1_001
Saddle rug,,China,1644-1911,Fabric,H x W: 72 x 71 cm (28 3/8 x 27 15/16 in),Gift of Charles Lang Freer,,,Costume and Textile,,,,,All_images1.0\image10138.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7868_14
Oblong tablet with Buddhist relief,,China,1368-1644,Stone,H x W x D: 44.8 × 23.3 × 7 cm (17 5/8 × 9 3/16 × 2 3/4 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10139.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7756_36
Garment hook (daigou),,China,,Bronze,H x W: 11.6 x 1.8 cm (4 9/16 x 11/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10140.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7654_20
Mirror,,China,206 BCE-220 CE,Bronze,Diam x D: 17.8 x 1.3 cm (7 x 1/2 in),Gift of Charles Lang Freer,,,Mirror,,,,,All_images1.0\image10141.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5993_02
Table,,China,19th century,Lacquer,H x W x D: 84.3 x 180.1 x 73.7 cm (33 3/16 x 70 7/8 x 29 in),Gift of Charles Lang Freer,,,Furniture and Furnishing,,,,,All_images1.0\image10142.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8535_38
A Luohan and an attendant,,China,1368-1644,Ink and strong color on silk panel,H x W: 140.8 x 78.8 cm (55 7/16 x 31 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10143.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5908_07
Seal,,China,618-907,"Bronze, gilding",H x W: 1.9 x 1.2 cm (3/4 x 1/2 in),Gift of Charles Lang Freer,,,Tool and Equipment,,,,,All_images1.0\image10144.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7654_24
Carpet,,China,1644-1911,Fabric,H x W: 102 x 61 cm (40 3/16 x 24 in),Gift of Charles Lang Freer,,,Costume and Textile,,,,,All_images1.0\image10145.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7912_07
Base for standard,,China,206 BCE-220 CE,"Bronze, gilding",Diam: 16.1 cm (6 5/16 in),Gift of Charles Lang Freer,,,Tool and Equipment,,,,,All_images1.0\image10146.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7775_20
Seal of Xie Zhiliu (1910-1997): Wannian,Wu Zijian (born 1947),China,1971,Soapstone,H x W x D (overall): 4.8 x 1.8 x 1.8 cm (1 7/8 x 11/16 x 11/16 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10147.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6031_02
Ring (banzhi),,China,19th century,Jade,H x W: 1.9 x 2.7 cm (3/4 x 1 1/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10148.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7678_09
"Dagger-axe (ge 戈), fragment reworked",,"Anyang, probably Henan province, China",ca. 1300-ca. 1050 BCE,Jade (nephrite),H x W x D (overall): 5.7 × 12.7 × 0.4 cm (2 1/4 × 5 × 3/16 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Ceremonial Object,,,,,All_images1.0\image10149.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-S2012.9.268_001
Poem by Chu Guangxi in running-standard script,,China,1873,Set of four hanging scrolls; ink on paper,"H x W (image, each): 141.7 x 32.4 cm (55 3/4 x 12 3/4 in)",Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images1.0\image10150.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5108_02
"Dagger-axe (ge 戈), fragment reworked",,"Anyang, probably Henan province, China",ca. 1300-ca. 1050 BCE,Jade (nephrite),H x W x D: 2.4 x 8.3 x 0.3 cm (15/16 x 3 5/16 x 1/8 in),Purchase — Charles Lang Freer Endowment,,,Ceremonial Object,,,,,All_images1.0\image10151.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1979.35_001
Seal of Xie Zhiliu (1910-1997): Mingzhang,Wu Zijian (born 1947),China,1971,Soapstone,H x W x D: 2 x 1.8 x 2.8 cm (13/16 x 11/16 x 1 1/8 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10152.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6012_04
Ring,,China,206 BCE-220 CE,Bronze with gilding,Diam: 10.7 cm (4 3/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10153.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7700_05
"Brocade, satin. Fragment",Jiaqing,China,19th century,Gold,H x W: 10 x 83.5 cm (3 15/16 x 32 7/8 in),Gift of Charles Lang Freer,,,Costume and Textile,,,,,All_images1.0\image10154.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8546_19
"Winter landscape: mountains, a river, and palaces",,China,17th-18th century,Ink and color on silk,H x W (image): 204.3 × 128.3 cm (80 7/16 × 50 1/2 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10155.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8336_09
Jardiniere,,"Jingdezhen, Jiangxi province, China",1662-1722,Porcelain with cobalt pigment under clear glaze,H x Diam: 17.8 × 21.7 cm (7 × 8 9/16 in),Gift of Helen D. Lally,,,Vessel,,,,,All_images1.0\image10156.jpg,无图片
Vase,,"Jingdezhen, Jiangxi province, China",mid 17th-early 18th century,Porcelain with cobalt pigment under clear glaze,H x Diam: 26.8 × 11.3 cm (10 9/16 × 4 7/16 in),Gift of Helen D. Lally,,,Vessel,,,,,All_images1.0\image10157.jpg,无图片
Vase,,"Jingdezhen, Jiangxi province, China",mid 17th-early 18th century,Porcelain with cobalt pigment under clear glaze,H x Diam: 47.2 × 20.6 cm (18 9/16 × 8 1/8 in),Gift of Helen D. Lally,,,Vessel,,,,,All_images1.0\image10158.jpg,无图片
Dish,,"Jingdezhen, Jiangxi province, China",late 17th-early 18th century,Porcelain with cobalt pigment under clear glaze,H x Diam: 3.7 × 21.3 cm (1 7/16 × 8 3/8 in),Gift of the Lydman Collection,,,Vessel,,,,,All_images1.0\image10159.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8103_19
Dish,,"Jingdezhen, Jiangxi province, China",late 17th-early 18th century,Porcelain with cobalt pigment under clear glaze,H x Diam: 3.9 × 21.9 cm (1 9/16 × 8 5/8 in),Gift of the Lydman Collection,,,Vessel,,,,,All_images1.0\image10160.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8103_21
"Cabinet, one of a pair with FSC-F-9",,China,1900-1950,Huang-hua-li wood (Chinese rosewood),H x W x D: 69 x 101.8 x 54 cm (27 3/16 x 40 1/16 x 21 1/4 in),Gift of Mr. and Mrs. LaRue Lutkins,,,Furniture and Furnishing,,,,,All_images1.0\image10161.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8536_34
Leashed Gibbon Stealing Fruit,Traditionally attributed to Yi Yuanji (active mid- to late 11th century),China,Probably early 17th century,Ink and color on silk,H x W (image): 96.2 x 54.2 cm (37 7/8 x 21 5/16 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10162.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5771_09
Seal of Xie Zhiliu (1910-1997): Xie Zhi zhi yin,Wu Zijian (born 1947),China,1971,Soapstone,H x W x D (overall): 1.3 x 1.3 x 4 cm (1/2 x 1/2 x 1 9/16 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10163.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6030_08
Plaque: S-shaped dragon,,China,1644-1911,Jade,H x W: 14.5 x 6.5 cm (5 11/16 x 2 9/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10164.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7523_32
Portrait of Bao Zheng (998-1061),,China,1368-1644,Ink and color on silk,H x W (image): 164.7 x 97.9 cm (64 13/16 x 38 9/16 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10165.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8380_06
Chariot fitting: axle cap,,China,1050-221 BCE,Bronze,H x W: 22.3 x 4.9 cm (8 3/4 x 1 15/16 in),Gift of Charles Lang Freer,,,Tool and Equipment,,,,,All_images1.0\image10166.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6071_03
Recumbent ram,,China,1368-1644,Hard black stone with a few small reddish-brown areas,H x W x D: 6 x 7.8 x 8.2 cm (2 3/8 x 3 1/16 x 3 1/4 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10167.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7535_18
Seal of Xie Zhiliu (1910-1997): Ying wu bu wu shi,Wu Zijian (born 1947),China,1982,Soapstone,H x W x D (overall): 4.8 x 2.6 x 4 cm (1 7/8 x 1 x 1 9/16 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10168.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6040_08
Carpet (fragment),,China,1644-1911,Fabric,H x W: 71 x 71 cm (27 15/16 x 27 15/16 in),Gift of Charles Lang Freer,,,Costume and Textile,,,,,All_images1.0\image10169.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7912_03
Seal of Xie Zhiliu (1910-1997): Xie Zhiliu,Wu Zijian (born 1947),China,1990,Soapstone,H x W x D (overall): 6.9 x 2 x 2 cm (2 11/16 x 13/16 x 13/16 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10170.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6040_12
"Dagger-axe (ge 戈), fragment",,"Anyang, probably Henan province, China",ca. 1300-ca. 1050 BCE,Marble,H x W x D (overall): 6 × 19.7 × 1.1 cm (2 3/8 × 7 3/4 × 7/16 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Ceremonial Object,,,,,All_images1.0\image10171.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-S2012.9.258_001
